"PWSID","PWS_NAME","NPM_CANDIDATE","PRIMACY_AGENCY_CODE","EPA_REGION","SEASON_BEGIN_DATE","SEASON_END_DATE","PWS_ACTIVITY_CODE","PWS_DEACTIVATION_DATE","PWS_TYPE_CODE","CDS_ID","GW_SW_CODE","OWNER_TYPE_CODE","POPULATION_SERVED_COUNT","PRIMACY_TYPE","PRIMARY_SOURCE_CODE","IS_GRANT_ELIGIBLE_IND","IS_WHOLESALER_IND","IS_SCHOOL_OR_DAYCARE_IND","SERVICE_CONNECTIONS_COUNT","SUBMISSION_STATUS_CODE","ORG_NAME","CITY_NAME","ZIP_CODE","COUNTRY_CODE","STATE_CODE","SOURCE_WATER_PROTECTION_CODE","SOURCE_PROTECTION_BEGIN_DATE","OUTSTANDING_PERFORMER","OUTSTANDING_PERFORM_BEGIN_DATE","CITIES_SERVED","COUNTIES_SERVED","PWSID_STATE"
"090605126","Hoopa Valley-Wide System","Y","09","9","","","A","","CWS","","SW","N","3430","Tribal","SW","Y","N","N","902","Y","Hoopa Valley Tribe","Hoopa","95546","US","CA","","","","","Hoopa","Not Reported","09"
"090605154","Indian Village","Y","09","9","","","A","","CWS","","GW","P","35","Tribal","GW","Y","N","N","13","Y","Indian Village MHP","Mecca","92254","US","CA","","","","","Not Reported","Not Reported","09"
"090600056","La Posta Lower Community","Y","09","9","","","A","","CWS","","GW","N","31","Tribal","GW","Y","N","N","8","Y","La Posta Band of Mission Indians","Campo","91906","US","CA","","","","","Not Reported","Not Reported","09"
"090600158","Viejas Community System","Y","09","9","","","A","","CWS","","GW","N","9500","Tribal","GW","Y","N","N","230","Y","Viejas Group of Capitan Grand Band  Mission Indian","Alpine","91901","US","CA","","","Y","01-JAN-14","Alpine","Not Reported","09"
"CA4900532","SONOMA COUNTY CSA 41-JENNER","Y","CA","9","","","A","","CWS","","SW","L","406","State","SW","Y","N","N","123","Y","HOEVERTSZ, JOHANNES","SANTA ROSA","95403","US","CA","","","","","Not Reported","Sonoma","ca"
"CA3310025","NORCO, CITY OF","Y","CA","9","","","A","","CWS","","SW","L","26761","State","SWP","Y","N","N","7454","Y","BLAIS, CHAD","NORCO","92860","US","CA","","","","","NORCO","Riverside","ca"
"CA3310038","RANCHO CALIFORNIA WATER DISTRICT","Y","CA","9","","","A","","CWS","","SW","L","143590","State","SWP","Y","N","N","43512","Y","OTTOLINI, RICH","TEMECULA","92589","US","CA","","","","","Not Reported","Riverside","ca"
"CA3910005","MANTECA, CITY OF","Y","CA","9","","","A","","CWS","","SW","L","81664","State","SWP","Y","N","N","22596","Y","MONTROSS, GEORGE","MANTECA","95337","US","CA","","","","","MANTECA","San Joaquin","ca"
"CA4900549","SONOMA COUNTY CSA 41-FREESTONE","Y","CA","9","","","A","","CWS","","SW","L","90","State","SW","Y","N","N","26","Y","HOEVERTSZ, JOHANNES","SANTA ROSA","95403","US","CA","","","","","Not Reported","Sonoma","ca"
"CA4900543","SONOMA COUNTY CSA 41-SALMON CREEK","Y","CA","9","","","A","","CWS","","SW","L","427","State","SW","Y","N","N","99","Y","HOEVERTSZ, JOHANNES","SANTA ROSA","95403","US","CA","","","","","Not Reported","Sonoma","ca"
