"pwsid","category","percent_income","annual_cost","percent_pays_more"
"CA0110001","inside",0,761,100
"CA0110001","outside",0,761,100
"CA0110001","inside",1,761,26.4
"CA0110001","outside",1,761,21.8
"CA0110001","inside",2,761,11.6
"CA0110001","outside",2,761,11.5
"CA0110001","inside",3,761,7.2
"CA0110001","outside",3,761,7.7
"CA0110001","inside",4,761,5.1
"CA0110001","outside",4,761,5.1
"CA0110001","inside",5,761,4
"CA0110001","outside",5,761,3.9
"CA0110001","inside",6,761,3.2
"CA0110001","outside",6,761,2.6
"CA0110001","inside",7,761,2.7
"CA0110001","outside",7,761,2.6
"CA0110001","inside",8,761,2.3
"CA0110001","outside",8,761,2.6
"CA0110001","inside",9,761,2
"CA0110001","outside",9,761,2.6
"CA0110001","inside",10,761,1.9
"CA0110001","outside",10,761,2.6
"CA0110001","inside",11,761,1.7
"CA0110001","outside",11,761,2.6
"CA0110001","inside",12,761,1.5
"CA0110001","outside",12,761,2.6
"CA0110001","inside",13,761,1.4
"CA0110001","outside",13,761,1.3
"CA0110001","inside",14,761,1.3
"CA0110001","outside",14,761,1.3
"CA0110001","inside",15,761,1.2
"CA0110001","outside",15,761,1.3
"CA0110001","inside",16,761,1.1
"CA0110001","inside",17,761,1.1
"CA0110001","inside",18,761,1
"CA0110001","inside",19,761,0.9
"CA0110001","inside",20,761,0.9
"CA0110003","inside",0,1134,100
"CA0110003","inside",1,1134,46.2
"CA0110003","inside",2,1134,22.3
"CA0110003","inside",3,1134,12.8
"CA0110003","inside",4,1134,8.8
"CA0110003","inside",5,1134,6.4
"CA0110003","inside",6,1134,4.9
"CA0110003","inside",7,1134,3.8
"CA0110003","inside",8,1134,3.2
"CA0110003","inside",9,1134,2.8
"CA0110003","inside",10,1134,2.4
"CA0110003","inside",11,1134,2.1
"CA0110003","inside",12,1134,2
"CA0110003","inside",13,1134,1.8
"CA0110003","inside",14,1134,1.6
"CA0110003","inside",15,1134,1.6
"CA0110003","inside",16,1134,1.4
"CA0110003","inside",17,1134,1.3
"CA0110003","inside",18,1134,1.2
"CA0110003","inside",19,1134,1.1
"CA0110003","inside",20,1134,1.1
"CA0110005","inside",0,516,100
"CA0110005","inside",1,516,30.6
"CA0110005","inside",2,516,15.2
"CA0110005","inside",3,516,9.9
"CA0110005","inside",4,516,7
"CA0110005","inside",5,516,4.9
"CA0110005","inside",6,516,4
"CA0110005","inside",7,516,3.4
"CA0110005","inside",8,516,2.9
"CA0110005","inside",9,516,2.6
"CA0110005","inside",10,516,2.4
"CA0110005","inside",11,516,2.1
"CA0110005","inside",12,516,2
"CA0110005","inside",13,516,1.8
"CA0110005","inside",14,516,1.7
"CA0110005","inside",15,516,1.6
"CA0110005","inside",16,516,1.5
"CA0110005","inside",17,516,1.4
"CA0110005","inside",18,516,1.3
"CA0110005","inside",19,516,1.2
"CA0110005","inside",20,516,1.2
"CA0110006","inside",0,622,100
"CA0110006","outside",0,651,100
"CA0110006","inside",1,622,35
"CA0110006","outside",1,651,48.1
"CA0110006","inside",2,622,15.7
"CA0110006","outside",2,651,24.9
"CA0110006","inside",3,622,9.7
"CA0110006","outside",3,651,17.4
"CA0110006","inside",4,622,6.6
"CA0110006","outside",4,651,14.7
"CA0110006","inside",5,622,4.7
"CA0110006","outside",5,651,11.9
"CA0110006","inside",6,622,3.4
"CA0110006","outside",6,651,10
"CA0110006","inside",7,622,2.8
"CA0110006","outside",7,651,8.6
"CA0110006","inside",8,622,2.5
"CA0110006","outside",8,651,7.8
"CA0110006","inside",9,622,2.2
"CA0110006","outside",9,651,7.2
"CA0110006","inside",10,622,2
"CA0110006","outside",10,651,6.5
"CA0110006","inside",11,622,1.8
"CA0110006","outside",11,651,5.9
"CA0110006","inside",12,622,1.6
"CA0110006","outside",12,651,5.4
"CA0110006","inside",13,622,1.5
"CA0110006","outside",13,651,5.1
"CA0110006","inside",14,622,1.4
"CA0110006","outside",14,651,4.7
"CA0110006","inside",15,622,1.4
"CA0110006","outside",15,651,4.6
"CA0110006","inside",16,622,1.3
"CA0110006","outside",16,651,4.4
"CA0110006","inside",17,622,1.2
"CA0110006","outside",17,651,4
"CA0110006","inside",18,622,1.1
"CA0110006","outside",18,651,3.8
"CA0110006","inside",19,622,1.1
"CA0110006","outside",19,651,3.6
"CA0110006","inside",20,622,1
"CA0110006","outside",20,651,3.4
"CA0110008","inside",0,1289,100
"CA0110008","inside",1,1289,41.2
"CA0110008","inside",2,1289,18.5
"CA0110008","inside",3,1289,13.1
"CA0110008","inside",4,1289,9.9
"CA0110008","inside",5,1289,8.1
"CA0110008","inside",6,1289,6.4
"CA0110008","inside",7,1289,5.3
"CA0110008","inside",8,1289,4.6
"CA0110008","inside",9,1289,3.9
"CA0110008","inside",10,1289,3.3
"CA0110008","inside",11,1289,2.9
"CA0110008","inside",12,1289,2.5
"CA0110008","inside",13,1289,2.1
"CA0110008","inside",14,1289,2
"CA0110008","inside",15,1289,1.9
"CA0110008","inside",16,1289,1.7
"CA0110008","inside",17,1289,1.7
"CA0110008","inside",18,1289,1.6
"CA0110008","inside",19,1289,1.5
"CA0110008","inside",20,1289,1.4
"CA0110009","inside",0,740,100
"CA0110009","inside",1,740,19.9
"CA0110009","inside",2,740,8.9
"CA0110009","inside",3,740,5.8
"CA0110009","inside",4,740,4.3
"CA0110009","inside",5,740,3.7
"CA0110009","inside",6,740,3
"CA0110009","inside",7,740,2.5
"CA0110009","inside",8,740,2.1
"CA0110009","inside",9,740,1.9
"CA0110009","inside",10,740,1.7
"CA0110009","inside",11,740,1.6
