pwsid,ymax,xmax,ymin,xmin
CA0110001,37.67,-121.67,37.4,-122.16
CA0110003,37.79,-121.66,37.6,-121.86
CA0110005,38.06,-121.65,37.56,-122.43
CA0110006,37.7,-121.9,37.56,-122.16
CA0110008,37.72,-121.67,37.48,-122.02
CA0110009,37.8,-121.8,37.68,-122
CA0110011,37.79,-121.66,37.6,-121.88
CA0210002,38.93,-119.75,38.44,-120.53
CA0300016,38.47,-120.57,38.39,-120.86
CA0300019,38.56,-120.66,38.44,-120.87
CA0310001,38.41,-120.63,38.26,-120.98
CA0310002,38.48,-120.79,38.27,-121.03
CA0310003,38.49,-120.62,38.29,-120.98
CA0310005,38.44,-120.54,38.34,-120.77
CA0310006,38.56,-120.69,38.48,-120.85
CA0310012,38.71,-120.07,38.33,-120.77
CA0310019,38.53,-120.44,38.46,-120.76
CA0310021,38.31,-120.83,38.22,-121.02
CA0405001,39.75,-121.53,39.6,-121.64
CA0410001,39.44,-121.69,39.4,-121.74
CA0410002,39.98,-121.64,39.64,-122.12
CA0410005,39.54,-121.51,39.45,-121.61
CA0410007,39.82,-121.56,39.58,-121.78
CA0410009,39.82,-121.56,39.75,-121.65
CA0410011,39.86,-121.58,39.79,-121.63
CA0510001,38.24,-120.33,38.04,-120.54
CA0510002,38.44,-120.5,38.13,-120.85
CA0510003,38.15,-120.45,37.83,-120.85
CA0510004,38.2,-120.4,38.09,-120.58
CA0510006,38.3,-120.65,38.01,-121
CA0510010,38.3,-120.72,38.13,-121
CA0510016,38.31,-120.23,38.19,-120.45
CA0510017,38.07,-120.51,37.83,-120.85
CA0610003,39.41,-122,39.22,-122.26
CA0610004,39.2,-122.04,39.06,-122.17
CA0710001,38.03,-121.72,37.88,-121.92
CA0710002,38.07,-121.9,37.99,-122.03
CA0710003,38.26,-121.53,37.66,-122.28
CA0710004,37.99,-121.64,37.87,-121.78
CA0710006,38.15,-122.05,37.89,-122.28
CA0710007,38.1,-121.56,37.9,-121.8
CA0710009,37.98,-121.56,37.89,-121.64
CA0810001,41.94,-124.08,41.73,-124.26
CA0910002,39.07,-119.75,38.54,-120.21
CA0910003,38.78,-120.7,38.7,-120.85
CA0910006,38.72,-120.21,38.53,-120.66
CA0910013,39.04,-120.49,38.71,-121.14
CA1010001,36.77,-119.68,36.74,-119.74
CA1010003,36.9,-119.61,36.77,-119.75
CA1010004,36.44,-120.17,35.91,-120.68
CA1010005,36.93,-120.42,36.78,-120.57
CA1010007,36.94,-119.61,36.6,-120.11
CA1010018,36.76,-120.02,36.71,-120.1
CA1010019,36.57,-119.49,36.49,-119.61
CA1010029,36.74,-119.47,36.63,-119.59
CA1010035,36.68,-119.57,36.61,-119.61
CA1010042,36.71,-119.66,36.66,-119.78
CA1010044,36.26,-119.96,36.02,-120.21
CA1010049,36.84,-119.93,36.76,-120.06
CA1100404,39.77,-122.21,39.73,-122.25
CA1110001,39.8,-122.11,39.73,-122.32
CA1110003,39.54,-122.17,39.49,-122.25
CA1210001,40.96,-123.54,40.5,-124.23
CA1210002,41.09,-123.72,40.75,-124.04
CA1210004,40.96,-124.08,40.72,-124.23
CA1210006,40.67,-123.98,40.54,-124.22
CA1210007,40.64,-124.03,40.13,-124.41
CA1210009,40.85,-123.94,40.61,-124.23
CA1210010,40.54,-123.89,40.35,-124.15
CA1210011,40.14,-123.79,40.11,-123.84
CA1210015,41.47,-123.41,40.71,-124.04
CA1210016,41.03,-124.03,40.75,-124.23
CA1210017,40.96,-124.08,40.75,-124.23
CA1210018,41.08,-124.08,41.04,-124.15
CA1310001,33.07,-115.29,32.88,-115.68
CA1310002,32.73,-115.28,32.65,-115.69
CA1310004,32.85,-115.43,32.72,-115.6
CA1310005,32.92,-115.27,32.72,-115.46
CA1310006,32.92,-115.43,32.82,-115.72
CA1310007,32.85,-115.43,32.65,-115.69
CA1310011,33.53,-115.63,32.62,-116.62
CA1410001,37.38,-118.37,37.35,-118.44
CA1410006,37.19,-118.28,37.15,-118.31
CA1500314,35.35,-118.91,35.3,-118.99
CA1510001,35.34,-118.75,34.99,-119
CA1510003,35.55,-118.72,35.24,-119.13
CA1510005,35.79,-119.05,35.72,-119.36
CA1510006,35.41,-118.84,35.3,-118.99
CA1510012,35.34,-118.75,34.99,-119
CA1510013,35.69,-119.2,35.66,-119.26
CA1510014,35.22,-117.01,34.5,-118.95
CA1510017,35.8,-116.92,35.25,-117.8
CA1510018,34.97,-118.14,34.82,-118.59
CA1510019,35.56,-119.07,35.44,-119.47
CA1510020,35.46,-118.04,35.01,-118.79
CA1510021,35.79,-119.26,35.44,-120.19
CA1510024,35.3,-118.99,35.24,-119.03
CA1510025,35.21,-118.51,35.01,-118.75
CA1510031,35.44,-118.98,35.09,-119.25
CA1510032,35.48,-117.63,34.95,-118.31
CA1510038,35.29,-118.51,35.11,-118.79
CA1510045,35.21,-118.19,34.8,-118.95
CA1510055,35.44,-119.03,35.36,-119.25
CA1610002,36.07,-120.1,35.97,-120.17
CA1610004,36.14,-119.54,36.05,-119.61
CA1610005,36.4,-119.74,36.25,-119.96
CA1700554,39.1,-122.67,39.01,-122.83
CA1700568,39.05,-122.71,38.93,-122.83
CA1710001,39.21,-122.41,38.96,-122.77
CA1710002,39.03,-122.6,38.94,-122.74
CA1710003,39.02,-122.58,38.92,-122.68
CA1710004,39.12,-122.89,38.98,-123.07
CA1710006,39.03,-122.34,38.92,-122.64
CA1710009,39.18,-122.82,39.12,-122.92
CA1710013,38.77,-122.6,38.71,-122.66
CA1710015,38.91,-122.37,38.77,-122.63
CA1805007,40.44,-120,40.06,-120.46
CA1810001,40.58,-120.5,40.3,-120.81
