"GEOID","pwsid","burden"
"060014001001","CA0110005","Low"
"060014002001","CA0110005","Low"
"060014002002","CA0110005","Low"
"060014003001","CA0110005","Low"
"060014003002","CA0110005","Low"
"060014003003","CA0110005","Low"
"060014003004","CA0110005","Low"
"060014004001","CA0110005","Low-Moderate"
"060014004002","CA0110005","Low-Moderate"
"060014004003","CA0110005","Low-Moderate"
"060014005001","CA0110005","Low-Moderate"
"060014005002","CA0110005","Low-Moderate"
"060014005003","CA0110005","Low-Moderate"
"060014006001","CA0110005","Low"
"060014006002","CA0110005","Low"
"060014007001","CA0110005","Low-Moderate"
"060014007002","CA0110005","Low-Moderate"
"060014007003","CA0110005","Low-Moderate"
"060014007004","CA0110005","Low-Moderate"
"060014008001","CA0110005","Moderate-High"
"060014008002","CA0110005","Moderate-High"
"060014008003","CA0110005","Moderate-High"
"060014009001","CA0110005","Low-Moderate"
"060014009002","CA0110005","Low-Moderate"
"060014010001","CA0110005","Moderate-High"
"060014010002","CA0110005","Low-Moderate"
"060014010003","CA0110005","Low-Moderate"
"060014010004","CA0110005","Low-Moderate"
"060014010005","CA0110005","Moderate-High"
"060014010006","CA0110005","Low-Moderate"
"060014011001","CA0110005","Low-Moderate"
"060014011002","CA0110005","Low-Moderate"
"060014011003","CA0110005","Low-Moderate"
"060014011004","CA0110005","Low-Moderate"
"060014012001","CA0110005","Low-Moderate"
"060014012002","CA0110005","Low-Moderate"
"060014012003","CA0110005","Low-Moderate"
"060014013001","CA0110005","Moderate-High"
"060014013002","CA0110005","High"
"060014013003","CA0110005","Moderate-High"
"060014014001","CA0110005","High"
"060014014002","CA0110005","Moderate-High"
"060014014003","CA0110005","Moderate-High"
"060014015001","CA0110005","High"
"060014015002","CA0110005","Moderate-High"
"060014015003","CA0110005","Moderate-High"
"060014016001","CA0110005","Moderate-High"
"060014016002","CA0110005","Moderate-High"
"060014017001","CA0110005","Low"
"060014017002","CA0110005","Low"
"060014017003","CA0110005","unknown"
"060014018001","CA0110005","Low-Moderate"
"060014018002","CA0110005","Moderate-High"
"060014022001","CA0110005","Moderate-High"
"060014022002","CA0110005","High"
"060014022003","CA0110005","Moderate-High"
"060014024001","CA0110005","Moderate-High"
"060014024002","CA0110005","High"
