"GEOID","pwsid","totalhh","perArea","medianIncome","income20","HBI","PPI","burden","TRAD"
"410050201001","OR4100657",922,0.17,136667,65465,7,8.7,"Low-Moderate",3.4
"410050208001","OR4100657",794,5.46,50156,31120,15.5,27.3,"High",9.6
"410050209001","OR4100657",425,24.49,96932,37236,12.9,29.8,"High",5
"410050210001","OR4100657",469,0.32,73313,33584,14.3,26,"High",6.6
"410050210002","OR4100657",1023,2.14,76713,34824,13.7,26,"High",6.2
"410050216014","OR4100657",335,1.73,70401,21953,21.7,30,"High",6.8
"410050222061","OR4100657",695,3.56,88250,39337,12.2,11,"Moderate-High",5.4
"410050222062","OR4100657",1829,2.17,129139,56622,8.5,11,"Low-Moderate",3.7
"410050222081","OR4100657",1637,3.82,124844,66245,7.2,5.8,"Low-Moderate",3.8
"410050222082","OR4100657",825,17.29,132212,90004,5.3,5.8,"Low-Moderate",3.6
"410510001001","OR4100657",346,100,157115,44002,10.9,13.8,"Moderate-High",3
"410510001002","OR4100657",550,100,153167,49008,9.8,13.8,"Moderate-High",3.1
"410510001003","OR4100657",285,100,113036,47350,10.1,13.8,"Moderate-High",4.2
"410510001004","OR4100657",497,100,77188,27356,17.5,13.8,"Moderate-High",6.2
"410510001005","OR4100657",355,100,60625,19690,24.3,13.8,"Moderate-High",7.9
"410510001006","OR4100657",408,100,86602,49736,9.6,13.8,"Moderate-High",5.5
"410510001007","OR4100657",497,100,84688,47195,10.1,13.8,"Moderate-High",5.7
"410510002001","OR4100657",459,100,61250,39257,12.2,27.5,"High",7.8
"410510002002","OR4100657",1050,100,72986,19958,24,27.5,"High",6.6
"410510002003","OR4100657",726,100,78646,28064,17,27.5,"High",6.1
"410510002004","OR4100657",911,99.43,26858,6110,78.3,27.5,"High",17.8
"410510003011","OR4100657",613,100,49720,26862,17.8,20.8,"High",9.6
"410510003012","OR4100657",273,100,84297,47388,10.1,20.8,"High",5.7
"410510003013","OR4100657",678,100,80890,17434,27.4,20.8,"High",5.9
"410510003014","OR4100657",513,100,53125,21190,22.6,20.8,"High",9
"410510003021","OR4100657",483,100,177216,68685,7,6.9,"Low-Moderate",2.7
"410510003022","OR4100657",580,100,119891,52487,9.1,6.9,"Low-Moderate",4
"410510003023","OR4100657",349,100,98750,53684,8.9,6.9,"Low-Moderate",4.8
"410510003024","OR4100657",488,99.97,142273,86596,5.5,6.9,"Low-Moderate",3.4
"410510003025","OR4100657",403,100,207019,103198,4.6,6.9,"Low-Moderate",2.3
"410510003026","OR4100657",393,100,185804,86314,5.5,6.9,"Low-Moderate",2.6
"410510004011","OR4100657",541,100,75341,51626,9.3,16.3,"Moderate-High",6.3
"410510004012","OR4100657",249,100,86375,54829,8.7,16.3,"Low-Moderate",5.5
"410510004013","OR4100657",467,100,77102,42471,11.3,16.3,"Moderate-High",6.2
"410510004014","OR4100657",255,100,101979,44423,10.8,16.3,"Moderate-High",4.7
"410510004021","OR4100657",559,100,66250,32009,14.9,23.5,"High",7.2
"410510004022","OR4100657",345,100,65417,43464,11,23.5,"High",7.3
"410510004023","OR4100657",627,100,85117,43209,11.1,23.5,"High",5.6
"410510005011","OR4100657",344,100,53438,18094,26.4,29.4,"High",8.9
"410510005012","OR4100657",438,100,71121,38259,12.5,29.4,"High",6.7
"410510005013","OR4100657",518,100,70982,30207,15.8,29.4,"High",6.7
"410510005014","OR4100657",395,100,95428,46066,10.4,29.4,"High",5
"410510005021","OR4100657",360,100,79737,45834,10.4,31.2,"High",6
"410510005022","OR4100657",271,100,70221,21216,22.6,31.2,"High",6.8
"410510005023","OR4100657",322,100,73750,45867,10.4,31.2,"High",6.5
"410510005024","OR4100657",445,100,52604,21458,22.3,31.2,"High",9.1
"410510005025","OR4100657",497,100,71719,21504,22.2,31.2,"High",6.7
"410510006011","OR4100657",691,100,56313,24197,19.8,38.9,"Very High",8.5
"410510006012","OR4100657",389,100,53594,23274,20.6,38.9,"Very High",8.9
"410510006013","OR4100657",311,100,80871,33377,14.3,38.9,"Very High",5.9
"410510006014","OR4100657",605,100,65188,34825,13.7,38.9,"Very High",7.3
"410510006021","OR4100657",283,100,50341,17101,28,42.1,"Very High",9.5
"410510006022","OR4100657",884,100,50714,15795,30.3,42.1,"Very High",9.4
"410510006023","OR4100657",516,100,63707,41790,11.4,42.1,"Very High",7.5
"410510006024","OR4100657",421,100,64875,44882,10.7,42.1,"Very High",7.4
"410510007011","OR4100657",637,100,86691,29624,16.1,26.6,"High",5.5
"410510007012","OR4100657",359,100,62981,29909,16,26.6,"High",7.6
"410510007013","OR4100657",588,100,60263,36107,13.2,26.6,"High",7.9
"410510007014","OR4100657",422,100,61667,22657,21.1,26.6,"High",7.8
"410510007021","OR4100657",520,100,44333,25154,19,37.1,"Very High",10.8
"410510007022","OR4100657",494,100,87614,18629,25.7,37.1,"Very High",5.5
"410510007023","OR4100657",563,100,58984,13923,34.4,37.1,"Very High",8.1
"410510007024","OR4100657",507,100,64743,31051,15.4,37.1,"Very High",7.4
"410510008011","OR4100657",549,100,70547,14647,32.7,25.9,"High",6.8
"410510008012","OR4100657",666,100,79537,48419,9.9,25.9,"High",6
"410510008013","OR4100657",526,100,71071,26643,18,25.9,"High",6.7
"410510008014","OR4100657",462,100,76218,37381,12.8,25.9,"High",6.3
"410510008021","OR4100657",412,100,68605,41312,11.6,34.9,"High",7
"410510008022","OR4100657",358,100,54375,34013,14.1,34.9,"High",8.8
"410510008023","OR4100657",558,100,64597,36567,13.1,34.9,"High",7.4
"410510008024","OR4100657",759,100,63728,23520,20.3,34.9,"High",7.5
"410510009011","OR4100657",625,100,101906,46958,10.2,19.3,"Moderate-High",4.7
"410510009012","OR4100657",465,100,83194,45997,10.4,19.3,"Moderate-High",5.8
"410510009013","OR4100657",489,100,84362,56007,8.5,19.3,"Low-Moderate",5.7
"410510009014","OR4100657",470,100,95385,48055,10,19.3,"Moderate-High",5
"410510009021","OR4100657",927,100,54463,30094,15.9,36.6,"Very High",8.8
"410510009022","OR4100657",615,100,75160,31766,15.1,36.6,"Very High",6.4
"410510009023","OR4100657",461,100,70365,32032,14.9,36.6,"Very High",6.8
"410510010001","OR4100657",377,100,85292,40645,11.8,23.6,"High",5.6
"410510010002","OR4100657",610,100,93393,30897,15.5,23.6,"High",5.1
"410510010003","OR4100657",564,100,71429,42240,11.3,23.6,"High",6.7
"410510010004","OR4100657",413,100,98958,61696,7.8,23.6,"Moderate-High",4.8
"410510010005","OR4100657",580,100,71458,27049,17.7,23.6,"High",6.7
"410510011011","OR4100657",675,100,25202,6565,72.9,46.7,"Very High",19
"410510011012","OR4100657",953,100,55156,18006,26.6,46.7,"Very High",8.7
"410510011021","OR4100657",676,100,75956,29322,16.3,21.6,"High",6.3
"410510012011","OR4100657",444,100,62500,25775,18.6,34.4,"High",7.7
"410510012012","OR4100657",727,100,71181,29670,16.1,34.4,"High",6.7
"410510012013","OR4100657",454,100,62105,23768,20.1,34.4,"High",7.7
"410510012014","OR4100657",1127,100,70125,22408,21.4,34.4,"High",6.8
"410510012021","OR4100657",565,100,129625,32857,14.6,16.4,"Moderate-High",3.7
"410510012022","OR4100657",569,100,95938,52358,9.1,16.4,"Low-Moderate",5
"410510012023","OR4100657",395,100,96940,37082,12.9,16.4,"Moderate-High",4.9
"410510013011","OR4100657",507,100,79609,42994,11.1,18.2,"Moderate-High",6
"410510013012","OR4100657",344,100,110694,33018,14.5,18.2,"Moderate-High",4.3
"410510013013","OR4100657",440,100,102750,51420,9.3,18.2,"Moderate-High",4.7
"410510013014","OR4100657",647,100,75809,36731,13,18.2,"Moderate-High",6.3
"410510013021","OR4100657",354,100,73393,35759,13.4,16.1,"Moderate-High",6.5
"410510013022","OR4100657",526,100,75357,41781,11.4,16.1,"Moderate-High",6.3
"410510013023","OR4100657",601,100,96215,64964,7.4,16.1,"Low-Moderate",5
"410510014001","OR4100657",691,100,92665,25773,18.6,21.6,"High",5.2
"410510014002","OR4100657",628,100,69507,36683,13,21.6,"High",6.9
"410510014003","OR4100657",590,100,126250,39432,12.1,21.6,"High",3.8
"410510014004","OR4100657",371,100,75893,53679,8.9,21.6,"Moderate-High",6.3
"410510014005","OR4100657",293,100,76417,17501,27.3,21.6,"High",6.3
"410510015001","OR4100657",647,100,117574,47234,10.1,15.5,"Moderate-High",4.1
"410510015002","OR4100657",469,100,70375,28901,16.6,15.5,"Moderate-High",6.8
"410510015003","OR4100657",308,100,118750,38603,12.4,15.5,"Moderate-High",4
"410510016011","OR4100657",428,100,89605,48102,9.9,19.9,"Moderate-High",5.3
"410510016012","OR4100657",256,100,85179,29993,15.9,19.9,"Moderate-High",5.6
"410510016013","OR4100657",513,100,39234,18761,25.5,19.9,"Moderate-High",12.2
"410510016014","OR4100657",679,100,63942,34829,13.7,19.9,"Moderate-High",7.5
"410510016015","OR4100657",480,100,83922,13584,35.2,19.9,"Moderate-High",5.7
"410510016016","OR4100657",289,100,114427,18371,26,19.9,"Moderate-High",4.2
"410510016021","OR4100657",411,100,46128,21608,22.1,51.1,"Very High",10.4
"410510016022","OR4100657",421,100,81131,49405,9.7,51.1,"Very High",5.9
"410510016023","OR4100657",603,100,31911,12093,39.6,51.1,"Very High",15
"410510016024","OR4100657",328,100,42703,11630,41.1,51.1,"Very High",11.2
"410510017011","OR4100657",235,100,82765,29641,16.1,22.2,"High",5.8
"410510017012","OR4100657",719,100,61991,23220,20.6,22.2,"High",7.7
"410510017013","OR4100657",245,100,107846,48559,9.8,22.2,"High",4.4
"410510017014","OR4100657",309,100,52066,34801,13.8,22.2,"High",9.2
"410510017015","OR4100657",442,100,73077,45594,10.5,22.2,"High",6.6
"410510017016","OR4100657",371,100,105481,63607,7.5,22.2,"Moderate-High",4.5
"410510017017","OR4100657",611,100,62688,33100,14.5,22.2,"High",7.6
"410510017021","OR4100657",712,100,58854,20844,23,33.6,"High",8.1
"410510017022","OR4100657",446,100,67237,40098,11.9,33.6,"High",7.1
"410510017023","OR4100657",433,100,85509,44094,10.8,33.6,"High",5.6
"410510018011","OR4100657",659,100,44866,15202,31.5,31,"High",10.7
"410510018012","OR4100657",582,100,66154,32821,14.6,31,"High",7.2
"410510018013","OR4100657",852,100,64769,30050,15.9,31,"High",7.4
"410510018021","OR4100657",1052,100,66824,32547,14.7,20,"Moderate-High",7.2
"410510018022","OR4100657",652,100,84911,34099,14,20,"Moderate-High",5.6
"410510019001","OR4100657",586,100,67778,30341,15.8,10.2,"Moderate-High",7.1
"410510019002","OR4100657",468,100,180652,68724,7,10.2,"Low-Moderate",2.6
"410510019003","OR4100657",411,100,160114,84065,5.7,10.2,"Low-Moderate",3
"410510019004","OR4100657",480,100,135833,76461,6.3,10.2,"Low-Moderate",3.5
"410510020001","OR4100657",698,100,49389,22575,21.2,24,"High",9.7
"410510020002","OR4100657",397,100,115979,53729,8.9,24,"Moderate-High",4.1
"410510020003","OR4100657",881,100,54561,37894,12.6,24,"High",8.8
"410510020004","OR4100657",892,100,69219,38367,12.5,24,"High",6.9
"410510020005","OR4100657",738,100,55781,26694,17.9,24,"High",8.6
"410510021001","OR4100657",732,100,47375,19809,24.2,38.4,"Very High",10.1
"410510021002","OR4100657",987,100,49107,22321,21.4,38.4,"Very High",9.7
"410510022031","OR4100657",565,100,73789,32206,14.9,29.5,"High",6.5
"410510022032","OR4100657",492,100,88500,29686,16.1,29.5,"High",5.4
"410510022033","OR4100657",460,100,73056,42569,11.2,29.5,"High",6.6
"410510022034","OR4100657",458,100,51607,14323,33.4,29.5,"High",9.3
"410510023031","OR4100657",423,100,52545,7251,66,30.8,"High",9.1
"410510023032","OR4100657",1249,100,57135,18422,26,30.8,"High",8.4
"410510024011","OR4100657",533,100,146042,63552,7.5,8.4,"Low-Moderate",3.3
"410510024012","OR4100657",246,100,109643,49746,9.6,8.4,"Moderate-High",4.4
"410510024013","OR4100657",336,100,107361,41271,11.6,8.4,"Moderate-High",4.5
"410510024021","OR4100657",671,100,57724,15508,30.9,25.5,"High",8.3
"410510024022","OR4100657",732,100,66613,35996,13.3,25.5,"High",7.2
"410510024023","OR4100657",566,100,69265,30305,15.8,25.5,"High",6.9
"410510025011","OR4100657",262,100,159464,105622,4.5,4.9,"Low",3
"410510025012","OR4100657",338,100,137188,55585,8.6,4.9,"Low-Moderate",3.5
"410510025013","OR4100657",324,100,130333,50633,9.4,4.9,"Moderate-High",3.7
"410510025014","OR4100657",227,100,117875,49058,9.8,4.9,"Moderate-High",4.1
"410510025015","OR4100657",290,100,134412,82077,5.8,4.9,"Low-Moderate",3.6
"410510025016","OR4100657",244,100,183750,89142,5.4,4.9,"Low-Moderate",2.6
"410510025021","OR4100657",248,100,112365,55466,8.6,25.5,"Moderate-High",4.3
"410510025022","OR4100657",539,100,62346,29873,16,25.5,"High",7.7
"410510025023","OR4100657",904,100,57957,26818,17.8,25.5,"High",8.3
"410510025024","OR4100657",562,100,98750,43967,10.9,25.5,"High",4.8
"410510026001","OR4100657",364,100,139524,60223,8,7,"Low-Moderate",3.4
"410510026002","OR4100657",351,100,108906,63025,7.6,7,"Low-Moderate",4.4
"410510026003","OR4100657",329,100,113472,34584,13.8,7,"Moderate-High",4.2
"410510027011","OR4100657",428,100,146860,83344,5.7,7.7,"Low-Moderate",3.3
"410510027012","OR4100657",494,100,153421,78027,6.1,7.7,"Low-Moderate",3.1
"410510027013","OR4100657",295,100,155875,90463,5.3,7.7,"Low-Moderate",3.1
"410510027021","OR4100657",696,100,60455,29761,16.1,31.4,"High",7.9
"410510027022","OR4100657",1092,100,43452,9174,52.2,31.4,"High",11
"410510028011","OR4100657",643,100,95592,50031,9.6,10.7,"Moderate-High",5
"410510028012","OR4100657",606,100,85375,40718,11.8,10.7,"Moderate-High",5.6
"410510028021","OR4100657",374,100,136786,65143,7.3,13.3,"Low-Moderate",3.5
"410510028022","OR4100657",452,100,118047,73630,6.5,13.3,"Low-Moderate",4
"410510028023","OR4100657",553,100,81094,52051,9.2,13.3,"Low-Moderate",5.9
"410510029011","OR4100657",356,100,89167,47755,10,12.5,"Moderate-High",5.4
"410510029012","OR4100657",389,100,116736,77482,6.2,12.5,"Low-Moderate",4.1
"410510029013","OR4100657",481,100,62214,27962,17.1,12.5,"Moderate-High",7.7
"410510029014","OR4100657",702,100,70833,28652,16.7,12.5,"Moderate-High",6.8
"410510029021","OR4100657",478,100,76154,42398,11.3,26.4,"High",6.3
"410510029022","OR4100657",361,100,70213,51743,9.2,26.4,"High",6.8
"410510029023","OR4100657",462,100,75745,41855,11.4,26.4,"High",6.3
"410510029024","OR4100657",643,100,45225,19170,25,26.4,"High",10.6
"410510029025","OR4100657",576,100,77742,46838,10.2,26.4,"High",6.2
"410510029031","OR4100657",713,99.43,43842,14395,33.2,34.4,"High",10.9
"410510029032","OR4100657",455,100,63417,24323,19.7,34.4,"High",7.6
"410510029033","OR4100657",322,100,39487,12122,39.5,34.4,"High",12.1
"410510029034","OR4100657",572,100,67717,24726,19.4,34.4,"High",7.1
"410510030001","OR4100657",486,100,129345,56932,8.4,7.4,"Low-Moderate",3.7
"410510030002","OR4100657",534,100,120250,47116,10.2,7.4,"Moderate-High",4
"410510030003","OR4100657",599,100,113996,78385,6.1,7.4,"Low-Moderate",4.2
"410510030004","OR4100657",343,100,116648,69692,6.9,7.4,"Low-Moderate",4.1
"410510031001","OR4100657",673,100,85398,39330,12.2,15.1,"Moderate-High",5.6
"410510031002","OR4100657",538,100,86739,51232,9.3,15.1,"Moderate-High",5.5
"410510031003","OR4100657",398,100,134063,49344,9.7,15.1,"Moderate-High",3.6
"410510031004","OR4100657",333,100,208281,109788,4.4,15.1,"Low",2.3
"410510032001","OR4100657",480,100,78824,22427,21.3,15,"Moderate-High",6.1
"410510032002","OR4100657",436,100,81700,35972,13.3,15,"Moderate-High",5.9
"410510032003","OR4100657",322,100,128889,56728,8.4,15,"Low-Moderate",3.7
"410510032004","OR4100657",576,100,121324,49968,9.6,15,"Moderate-High",3.9
"410510033011","OR4100657",450,100,92500,41321,11.6,37.9,"Very High",5.2
"410510033012","OR4100657",454,100,33333,5588,85.6,37.9,"Very High",14.4
"410510033013","OR4100657",475,100,55875,16458,29.1,37.9,"Very High",8.6
"410510033021","OR4100657",500,100,98587,39684,12.1,23.7,"High",4.8
"410510033022","OR4100657",921,100,68352,22216,21.5,23.7,"High",7
"410510034011","OR4100657",416,100,87500,47877,10,32.3,"High",5.5
"410510034012","OR4100657",433,100,93674,39008,12.3,32.3,"High",5.1
"410510034013","OR4100657",278,100,103182,52575,9.1,32.3,"Moderate-High",4.6
