"pwsid","date","unemploy_rate"
"CA0110001","2020-01-01",2.81
"CA0110001","2020-02-01",2.75
"CA0110001","2020-03-01",3.61
"CA0110001","2020-04-01",12.75
"CA0110001","2020-05-01",12.31
"CA0110001","2020-06-01",11.89
"CA0110001","2020-07-01",10.48
"CA0110001","2020-08-01",8.21
"CA0110001","2020-09-01",8.03
"CA0110001","2020-10-01",6.58
"CA0110001","2020-11-01",5.82
"CA0110001","2020-12-01",6.7
"CA0110001","2021-01-01",6.4
"CA0110001","2021-02-01",5.94
"CA0110001","2021-03-01",5.71
"CA0110001","2021-04-01",5.57
"CA0110001","2021-05-01",5.23
"CA0110001","2021-06-01",5.73
"CA0110001","2021-07-01",5.59
"CA0110001","2021-08-01",5.4
"CA0110001","2021-09-01",4.51
"CA0110003","2020-01-01",3.06
"CA0110003","2020-02-01",2.97
"CA0110003","2020-03-01",3.92
"CA0110003","2020-04-01",14.04
"CA0110003","2020-05-01",13.7
"CA0110003","2020-06-01",13.44
"CA0110003","2020-07-01",11.96
"CA0110003","2020-08-01",9.47
"CA0110003","2020-09-01",9.29
"CA0110003","2020-10-01",7.65
"CA0110003","2020-11-01",6.74
"CA0110003","2020-12-01",7.64
"CA0110003","2021-01-01",7.27
"CA0110003","2021-02-01",6.73
"CA0110003","2021-03-01",6.48
"CA0110003","2021-04-01",6.32
"CA0110003","2021-05-01",5.95
"CA0110003","2021-06-01",6.54
"CA0110003","2021-07-01",6.43
"CA0110003","2021-08-01",6.22
"CA0110003","2021-09-01",5.25
"CA0110005","2020-01-01",3.12
"CA0110005","2020-02-01",3.04
"CA0110005","2020-03-01",3.98
"CA0110005","2020-04-01",14.22
"CA0110005","2020-05-01",13.75
"CA0110005","2020-06-01",13.43
"CA0110005","2020-07-01",11.97
"CA0110005","2020-08-01",9.46
"CA0110005","2020-09-01",9.29
"CA0110005","2020-10-01",7.65
"CA0110005","2020-11-01",6.78
"CA0110005","2020-12-01",7.74
"CA0110005","2021-01-01",7.37
"CA0110005","2021-02-01",6.86
"CA0110005","2021-03-01",6.59
"CA0110005","2021-04-01",6.44
"CA0110005","2021-05-01",6.06
"CA0110005","2021-06-01",6.67
"CA0110005","2021-07-01",6.55
"CA0110005","2021-08-01",6.34
"CA0110005","2021-09-01",5.37
"CA0110006","2020-01-01",3.06
"CA0110006","2020-02-01",2.97
"CA0110006","2020-03-01",3.92
"CA0110006","2020-04-01",14.04
"CA0110006","2020-05-01",13.7
"CA0110006","2020-06-01",13.44
"CA0110006","2020-07-01",11.96
"CA0110006","2020-08-01",9.47
"CA0110006","2020-09-01",9.29
"CA0110006","2020-10-01",7.65
"CA0110006","2020-11-01",6.74
"CA0110006","2020-12-01",7.64
"CA0110006","2021-01-01",7.27
"CA0110006","2021-02-01",6.73
"CA0110006","2021-03-01",6.48
"CA0110006","2021-04-01",6.32
"CA0110006","2021-05-01",5.95
"CA0110006","2021-06-01",6.54
"CA0110006","2021-07-01",6.43
"CA0110006","2021-08-01",6.22
"CA0110006","2021-09-01",5.25
"CA0110008","2020-01-01",3.06
"CA0110008","2020-02-01",2.97
"CA0110008","2020-03-01",3.92
"CA0110008","2020-04-01",14.04
"CA0110008","2020-05-01",13.7
"CA0110008","2020-06-01",13.44
"CA0110008","2020-07-01",11.96
"CA0110008","2020-08-01",9.47
"CA0110008","2020-09-01",9.29
"CA0110008","2020-10-01",7.65
"CA0110008","2020-11-01",6.74
"CA0110008","2020-12-01",7.64
"CA0110008","2021-01-01",7.27
"CA0110008","2021-02-01",6.73
"CA0110008","2021-03-01",6.48
"CA0110008","2021-04-01",6.32
"CA0110008","2021-05-01",5.95
"CA0110008","2021-06-01",6.54
"CA0110008","2021-07-01",6.43
"CA0110008","2021-08-01",6.22
"CA0110008","2021-09-01",5.25
"CA0110009","2020-01-01",3.12
"CA0110009","2020-02-01",3.04
"CA0110009","2020-03-01",3.98
"CA0110009","2020-04-01",14.22
"CA0110009","2020-05-01",13.75
"CA0110009","2020-06-01",13.43
"CA0110009","2020-07-01",11.97
"CA0110009","2020-08-01",9.46
"CA0110009","2020-09-01",9.29
"CA0110009","2020-10-01",7.65
"CA0110009","2020-11-01",6.78
"CA0110009","2020-12-01",7.74
"CA0110009","2021-01-01",7.37
"CA0110009","2021-02-01",6.86
"CA0110009","2021-03-01",6.59
"CA0110009","2021-04-01",6.44
"CA0110009","2021-05-01",6.06
"CA0110009","2021-06-01",6.67
"CA0110009","2021-07-01",6.55
"CA0110009","2021-08-01",6.34
"CA0110009","2021-09-01",5.37
"CA0110011","2020-01-01",3.06
"CA0110011","2020-02-01",2.97
"CA0110011","2020-03-01",3.92
"CA0110011","2020-04-01",14.04
"CA0110011","2020-05-01",13.7
"CA0110011","2020-06-01",13.44
"CA0110011","2020-07-01",11.96
"CA0110011","2020-08-01",9.47
"CA0110011","2020-09-01",9.29
"CA0110011","2020-10-01",7.65
"CA0110011","2020-11-01",6.74
"CA0110011","2020-12-01",7.64
"CA0110011","2021-01-01",7.27
"CA0110011","2021-02-01",6.73
"CA0110011","2021-03-01",6.48
"CA0110011","2021-04-01",6.32
"CA0110011","2021-05-01",5.95
"CA0110011","2021-06-01",6.54
"CA0110011","2021-07-01",6.43
"CA0110011","2021-08-01",6.22
"CA0110011","2021-09-01",5.25
"CA0210002","2020-01-01",4.71
"CA0210002","2020-02-01",4.43
"CA0210002","2020-03-01",5.54
"CA0210002","2020-04-01",14.65
"CA0210002","2020-05-01",15.55
"CA0210002","2020-06-01",12.97
"CA0210002","2020-07-01",11.96
"CA0210002","2020-08-01",8.94
"CA0210002","2020-09-01",8.74
"CA0210002","2020-10-01",7.43
"CA0210002","2020-11-01",6.97
"CA0210002","2020-12-01",8.34
"CA0210002","2021-01-01",8.22
"CA0210002","2021-02-01",7.81
"CA0210002","2021-03-01",7.43
"CA0210002","2021-04-01",6.99
"CA0210002","2021-05-01",6.34
"CA0210002","2021-06-01",6.99
"CA0210002","2021-07-01",6.91
"CA0210002","2021-08-01",6.71
"CA0210002","2021-09-01",5.79
"CA0300016","2020-01-01",4.71
"CA0300016","2020-02-01",4.41
"CA0300016","2020-03-01",5.48
"CA0300016","2020-04-01",14.41
"CA0300016","2020-05-01",15.33
"CA0300016","2020-06-01",12.74
"CA0300016","2020-07-01",11.88
"CA0300016","2020-08-01",8.89
"CA0300016","2020-09-01",8.68
"CA0300016","2020-10-01",7.37
"CA0300016","2020-11-01",6.97
"CA0300016","2020-12-01",8.38
"CA0300016","2021-01-01",8.28
"CA0300016","2021-02-01",7.84
"CA0300016","2021-03-01",7.43
"CA0300016","2021-04-01",6.95
"CA0300016","2021-05-01",6.26
"CA0300016","2021-06-01",6.93
"CA0300016","2021-07-01",6.83
"CA0300016","2021-08-01",6.65
"CA0300016","2021-09-01",5.72
"CA0300019","2020-01-01",4.71
"CA0300019","2020-02-01",4.41
"CA0300019","2020-03-01",5.48
"CA0300019","2020-04-01",14.41
"CA0300019","2020-05-01",15.33
"CA0300019","2020-06-01",12.74
"CA0300019","2020-07-01",11.88
"CA0300019","2020-08-01",8.89
"CA0300019","2020-09-01",8.68
"CA0300019","2020-10-01",7.37
"CA0300019","2020-11-01",6.97
"CA0300019","2020-12-01",8.38
"CA0300019","2021-01-01",8.28
"CA0300019","2021-02-01",7.84
"CA0300019","2021-03-01",7.43
"CA0300019","2021-04-01",6.95
"CA0300019","2021-05-01",6.26
"CA0300019","2021-06-01",6.93
"CA0300019","2021-07-01",6.83
"CA0300019","2021-08-01",6.65
"CA0300019","2021-09-01",5.72
"CA0310001","2020-01-01",4.71
"CA0310001","2020-02-01",4.41
"CA0310001","2020-03-01",5.48
"CA0310001","2020-04-01",14.41
"CA0310001","2020-05-01",15.33
"CA0310001","2020-06-01",12.74
"CA0310001","2020-07-01",11.88
"CA0310001","2020-08-01",8.89
"CA0310001","2020-09-01",8.68
"CA0310001","2020-10-01",7.37
"CA0310001","2020-11-01",6.97
"CA0310001","2020-12-01",8.38
"CA0310001","2021-01-01",8.28
"CA0310001","2021-02-01",7.84
"CA0310001","2021-03-01",7.43
"CA0310001","2021-04-01",6.95
"CA0310001","2021-05-01",6.26
"CA0310001","2021-06-01",6.93
"CA0310001","2021-07-01",6.83
"CA0310001","2021-08-01",6.65
"CA0310001","2021-09-01",5.72
"CA0310002","2020-01-01",4.71
"CA0310002","2020-02-01",4.41
"CA0310002","2020-03-01",5.48
"CA0310002","2020-04-01",14.41
"CA0310002","2020-05-01",15.33
"CA0310002","2020-06-01",12.74
"CA0310002","2020-07-01",11.88
"CA0310002","2020-08-01",8.89
"CA0310002","2020-09-01",8.68
"CA0310002","2020-10-01",7.37
"CA0310002","2020-11-01",6.97
"CA0310002","2020-12-01",8.38
"CA0310002","2021-01-01",8.28
"CA0310002","2021-02-01",7.84
"CA0310002","2021-03-01",7.43
"CA0310002","2021-04-01",6.95
"CA0310002","2021-05-01",6.26
"CA0310002","2021-06-01",6.93
"CA0310002","2021-07-01",6.83
"CA0310002","2021-08-01",6.65
"CA0310002","2021-09-01",5.72
"CA0310003","2020-01-01",4.71
"CA0310003","2020-02-01",4.41
"CA0310003","2020-03-01",5.48
"CA0310003","2020-04-01",14.41
"CA0310003","2020-05-01",15.33
"CA0310003","2020-06-01",12.74
"CA0310003","2020-07-01",11.88
"CA0310003","2020-08-01",8.89
"CA0310003","2020-09-01",8.68
"CA0310003","2020-10-01",7.37
"CA0310003","2020-11-01",6.97
"CA0310003","2020-12-01",8.38
"CA0310003","2021-01-01",8.28
"CA0310003","2021-02-01",7.84
"CA0310003","2021-03-01",7.43
"CA0310003","2021-04-01",6.95
"CA0310003","2021-05-01",6.26
"CA0310003","2021-06-01",6.93
"CA0310003","2021-07-01",6.83
"CA0310003","2021-08-01",6.65
"CA0310003","2021-09-01",5.72
"CA0310005","2020-01-01",4.71
"CA0310005","2020-02-01",4.41
"CA0310005","2020-03-01",5.48
"CA0310005","2020-04-01",14.41
"CA0310005","2020-05-01",15.33
"CA0310005","2020-06-01",12.74
"CA0310005","2020-07-01",11.88
"CA0310005","2020-08-01",8.89
"CA0310005","2020-09-01",8.68
"CA0310005","2020-10-01",7.37
"CA0310005","2020-11-01",6.97
"CA0310005","2020-12-01",8.38
"CA0310005","2021-01-01",8.28
"CA0310005","2021-02-01",7.84
"CA0310005","2021-03-01",7.43
"CA0310005","2021-04-01",6.95
"CA0310005","2021-05-01",6.26
"CA0310005","2021-06-01",6.93
"CA0310005","2021-07-01",6.83
"CA0310005","2021-08-01",6.65
"CA0310005","2021-09-01",5.72
"CA0310006","2020-01-01",4.71
"CA0310006","2020-02-01",4.41
"CA0310006","2020-03-01",5.48
"CA0310006","2020-04-01",14.41
"CA0310006","2020-05-01",15.33
"CA0310006","2020-06-01",12.74
"CA0310006","2020-07-01",11.88
"CA0310006","2020-08-01",8.89
"CA0310006","2020-09-01",8.68
"CA0310006","2020-10-01",7.37
"CA0310006","2020-11-01",6.97
"CA0310006","2020-12-01",8.38
"CA0310006","2021-01-01",8.28
"CA0310006","2021-02-01",7.84
"CA0310006","2021-03-01",7.43
"CA0310006","2021-04-01",6.95
"CA0310006","2021-05-01",6.26
"CA0310006","2021-06-01",6.93
"CA0310006","2021-07-01",6.83
"CA0310006","2021-08-01",6.65
"CA0310006","2021-09-01",5.72
"CA0310012","2020-01-01",4.71
"CA0310012","2020-02-01",4.41
"CA0310012","2020-03-01",5.48
"CA0310012","2020-04-01",14.41
"CA0310012","2020-05-01",15.33
"CA0310012","2020-06-01",12.74
"CA0310012","2020-07-01",11.88
"CA0310012","2020-08-01",8.89
"CA0310012","2020-09-01",8.68
"CA0310012","2020-10-01",7.37
"CA0310012","2020-11-01",6.97
"CA0310012","2020-12-01",8.38
"CA0310012","2021-01-01",8.28
"CA0310012","2021-02-01",7.84
"CA0310012","2021-03-01",7.43
"CA0310012","2021-04-01",6.95
"CA0310012","2021-05-01",6.26
"CA0310012","2021-06-01",6.93
"CA0310012","2021-07-01",6.83
"CA0310012","2021-08-01",6.65
"CA0310012","2021-09-01",5.72
"CA0310019","2020-01-01",4.71
"CA0310019","2020-02-01",4.41
"CA0310019","2020-03-01",5.48
"CA0310019","2020-04-01",14.41
"CA0310019","2020-05-01",15.33
"CA0310019","2020-06-01",12.74
"CA0310019","2020-07-01",11.88
"CA0310019","2020-08-01",8.89
"CA0310019","2020-09-01",8.68
"CA0310019","2020-10-01",7.37
"CA0310019","2020-11-01",6.97
"CA0310019","2020-12-01",8.38
"CA0310019","2021-01-01",8.28
"CA0310019","2021-02-01",7.84
"CA0310019","2021-03-01",7.43
"CA0310019","2021-04-01",6.95
"CA0310019","2021-05-01",6.26
"CA0310019","2021-06-01",6.93
"CA0310019","2021-07-01",6.83
"CA0310019","2021-08-01",6.65
"CA0310019","2021-09-01",5.72
"CA0310021","2020-01-01",4.71
"CA0310021","2020-02-01",4.41
"CA0310021","2020-03-01",5.48
"CA0310021","2020-04-01",14.41
"CA0310021","2020-05-01",15.33
"CA0310021","2020-06-01",12.74
"CA0310021","2020-07-01",11.88
"CA0310021","2020-08-01",8.89
"CA0310021","2020-09-01",8.68
"CA0310021","2020-10-01",7.37
"CA0310021","2020-11-01",6.97
"CA0310021","2020-12-01",8.38
"CA0310021","2021-01-01",8.28
"CA0310021","2021-02-01",7.84
"CA0310021","2021-03-01",7.43
"CA0310021","2021-04-01",6.95
"CA0310021","2021-05-01",6.26
"CA0310021","2021-06-01",6.93
"CA0310021","2021-07-01",6.83
"CA0310021","2021-08-01",6.65
"CA0310021","2021-09-01",5.72
"CA0405001","2020-01-01",5.57
"CA0405001","2020-02-01",5.44
"CA0405001","2020-03-01",6.84
"CA0405001","2020-04-01",15.5
"CA0405001","2020-05-01",13.31
"CA0405001","2020-06-01",12.06
"CA0405001","2020-07-01",11.13
"CA0405001","2020-08-01",8.58
