"pwsid","pop1990","pop2000","pop2010","cwsPop","under18","age18to34","age35to59","age60to64","over65","Asian","Black","Native","Other","White","Hispanic","d0to24k","d25to49k","d50to74k","d75to100k","d100to125k","d125to150k","d150kmore","built_2010later","built_2000to2009","built_1990to1999","built_1980to1989","built_1970to1979","built_1960to1969","built_1950to1959","built_1940to1949","built_1939early","keep"
"CA0110001",254813,303779,319545,351000,22.1,22.74,36.67,5.39,13.1,54.02,3.65,0.49,18.12,23.71,18.59,7.08,8.38,10.41,11.2,11.37,9.78,41.78,2.97,5.75,11.91,23.77,25.96,17.33,9.42,1.16,1.73,"keep"
"CA0110003",37646,47931,53479,59000,22.97,19.76,36.3,6.03,14.95,11.08,2.18,0.29,10.35,76.11,19.57,7.51,10.64,11.86,10.21,10.87,8.42,40.49,2.15,11.22,14.93,9.4,22.14,20.66,13.52,2.31,3.67,"keep"
"CA0110005",1143307,1254783,1305257,1405000,20.32,22.99,34.16,6.16,16.37,20.7,11.56,0.57,16.44,50.72,21.6,14.71,14.98,13.07,11.74,9.35,7.5,28.65,1.61,6.33,7.31,10.5,13.61,13.36,14.65,10.01,22.63,"keep"
"CA0110006",109421,134063,138868,151600,21.36,26.65,33.85,5.65,12.49,25.34,10.48,0.79,26.14,37.25,39.71,12.44,14.41,17.33,15.47,11.56,9.27,19.53,3.09,6.27,8.45,13.59,18.8,14.4,25.31,5.57,4.52,"keep"
"CA0110008",47019,57996,67411,79201,24.51,15.46,38.72,6.61,14.7,35.17,2.11,0.3,7.24,55.17,8.55,7.9,6.83,7.17,9.59,8.61,8.27,51.63,5.56,7.6,18.54,21.23,23.57,16.5,3.72,1.57,1.7,"keep"
"CA0110009",22494,34442,67485,86895,26.74,19.6,39.98,4.44,9.24,44.82,3.44,0.5,8.58,42.67,10.81,5.93,7.19,7.07,9.06,10.37,10.49,49.88,20.51,39.24,14.17,8.51,3.37,12.4,0.8,0.45,0.55,"keep"
"CA0110011",16249,20643,24661,30000,23.68,18.92,37.92,6.16,13.32,12.31,1.65,0.34,10.14,75.57,18.57,7.28,10.53,11.37,11.31,10.84,8.69,39.97,2.61,11.8,16.27,11.11,21.22,20.2,11.42,2.13,3.24,"keep"
"CA0210002",6045,7253,6744,7851,15.95,12.71,31.88,11.19,28.27,2.65,0.5,12.18,9.37,75.31,9.9,22.42,24.71,13.09,12.6,12.77,3.93,10.47,1.69,18.5,16.04,19.99,26.19,7.84,1.28,3.59,4.87,"too small"
"CA0300016",129,156,154,160,15.58,10.71,32.95,8.46,32.3,1.01,0.43,0.89,6.53,91.15,9.52,6.57,29.9,24.69,3.62,19.25,2.72,13.25,5.34,24.76,9.97,20.75,23.69,1.25,4.72,0.09,9.44,"too small"
"CA0300019",85,99,97,100,18.11,11.67,35.47,6.93,27.82,0.21,0.57,0.93,6.21,92.08,10.93,12.66,28.12,16.94,24.34,5.92,11.35,0.66,0.27,12.72,19.14,12.18,19.28,8.17,11.78,10.04,6.43,"too small"
"CA0310001",3456,3985,4399,4686,15.78,15.49,25.25,6.83,36.65,1.54,0.31,0.31,6.34,91.5,7.87,30.26,20.46,15.85,15.56,1.44,9.22,7.2,0.89,8.28,4.47,22.15,21.03,14.77,1.79,6.04,20.58,"keep"
"CA0310002",5175,5577,6296,6170,12.68,20.07,35.84,9.91,21.49,0.68,5.01,0.59,8.81,84.9,18.55,16.25,18.49,22.22,14.08,13.14,7.2,8.61,7.73,26.52,16.35,5.11,12.5,9.66,3.16,4.45,14.52,"keep"
