"pwsid","category","hh_use","service","commodity_unit_price"
"CA0110001","inside",0,"sewer",0
"CA0110001","inside",1000,"sewer",0
"CA0110001","inside",2000,"sewer",0
"CA0110001","inside",3000,"sewer",0
"CA0110001","inside",4000,"sewer",0
"CA0110001","inside",5000,"sewer",0
"CA0110001","inside",6000,"sewer",0
"CA0110001","inside",7000,"sewer",0
"CA0110001","inside",8000,"sewer",0
"CA0110001","inside",9000,"sewer",0
"CA0110001","inside",10000,"sewer",0
"CA0110001","inside",11000,"sewer",0
"CA0110001","inside",12000,"sewer",0
"CA0110001","inside",13000,"sewer",0
"CA0110001","inside",14000,"sewer",0
"CA0110001","inside",15000,"sewer",0
"CA0110001","inside",16000,"sewer",0
"CA0110001","inside",0,"water",0
"CA0110001","inside",1000,"water",6.14
"CA0110001","inside",2000,"water",6.14
"CA0110001","inside",3000,"water",6.14
"CA0110001","inside",4000,"water",6.14
"CA0110001","inside",5000,"water",6.14
"CA0110001","inside",6000,"water",6.14
"CA0110001","inside",7000,"water",6.14
"CA0110001","inside",8000,"water",6.14
"CA0110001","inside",9000,"water",6.14
"CA0110001","inside",10000,"water",6.14
"CA0110001","inside",11000,"water",6.14
"CA0110001","inside",12000,"water",6.14
"CA0110001","inside",13000,"water",6.14
"CA0110001","inside",14000,"water",6.14
"CA0110001","inside",15000,"water",6.14
"CA0110001","inside",16000,"water",6.14
"CA0110001","outside",0,"sewer",0
"CA0110001","outside",1000,"sewer",0
"CA0110001","outside",2000,"sewer",0
"CA0110001","outside",3000,"sewer",0
"CA0110001","outside",4000,"sewer",0
"CA0110001","outside",5000,"sewer",0
"CA0110001","outside",6000,"sewer",0
"CA0110001","outside",7000,"sewer",0
"CA0110001","outside",8000,"sewer",0
"CA0110001","outside",9000,"sewer",0
"CA0110001","outside",10000,"sewer",0
"CA0110001","outside",11000,"sewer",0
"CA0110001","outside",12000,"sewer",0
"CA0110001","outside",13000,"sewer",0
"CA0110001","outside",14000,"sewer",0
"CA0110001","outside",15000,"sewer",0
"CA0110001","outside",16000,"sewer",0
"CA0110001","outside",0,"water",0
"CA0110001","outside",1000,"water",7.07
"CA0110001","outside",2000,"water",7.07
"CA0110001","outside",3000,"water",7.07
"CA0110001","outside",4000,"water",7.07
"CA0110001","outside",5000,"water",7.07
"CA0110001","outside",6000,"water",7.07
"CA0110001","outside",7000,"water",7.07
"CA0110001","outside",8000,"water",7.07
"CA0110001","outside",9000,"water",7.07
"CA0110001","outside",10000,"water",7.07
"CA0110001","outside",11000,"water",7.07
"CA0110001","outside",12000,"water",7.07
"CA0110001","outside",13000,"water",7.07
"CA0110001","outside",14000,"water",7.07
"CA0110001","outside",15000,"water",7.07
"CA0110001","outside",16000,"water",7.07
"CA0110003","inside",0,"sewer",0
"CA0110003","inside",1000,"sewer",0
"CA0110003","inside",2000,"sewer",0
"CA0110003","inside",3000,"sewer",0
"CA0110003","inside",4000,"sewer",0
"CA0110003","inside",5000,"sewer",0
"CA0110003","inside",6000,"sewer",0
"CA0110003","inside",7000,"sewer",0
"CA0110003","inside",8000,"sewer",0
"CA0110003","inside",9000,"sewer",0
"CA0110003","inside",10000,"sewer",0
"CA0110003","inside",11000,"sewer",0
"CA0110003","inside",12000,"sewer",0
"CA0110003","inside",13000,"sewer",0
"CA0110003","inside",14000,"sewer",0
"CA0110003","inside",15000,"sewer",0
"CA0110003","inside",16000,"sewer",0
"CA0110003","inside",0,"water",0
"CA0110003","inside",1000,"water",4.8
"CA0110003","inside",2000,"water",4.8
"CA0110003","inside",3000,"water",4.8
"CA0110003","inside",4000,"water",4.8
"CA0110003","inside",5000,"water",4.8
"CA0110003","inside",6000,"water",4.8
"CA0110003","inside",7000,"water",4.84
"CA0110003","inside",8000,"water",4.98
"CA0110003","inside",9000,"water",5.1
"CA0110003","inside",10000,"water",5.19
"CA0110003","inside",11000,"water",5.26
"CA0110003","inside",12000,"water",5.32
"CA0110003","inside",13000,"water",5.43
"CA0110003","inside",14000,"water",5.68
"CA0110003","inside",15000,"water",5.9
"CA0110003","inside",16000,"water",6.1
"CA0110005","inside",0,"sewer",0
"CA0110005","inside",1000,"sewer",1.76
"CA0110005","inside",2000,"sewer",1.76
"CA0110005","inside",3000,"sewer",1.76
"CA0110005","inside",4000,"sewer",1.76
"CA0110005","inside",5000,"sewer",1.76
"CA0110005","inside",6000,"sewer",1.77
"CA0110005","inside",7000,"sewer",1.7
"CA0110005","inside",8000,"sewer",1.49
"CA0110005","inside",9000,"sewer",1.32
"CA0110005","inside",10000,"sewer",1.19
"CA0110005","inside",11000,"sewer",1.08
"CA0110005","inside",12000,"sewer",0.99
"CA0110005","inside",13000,"sewer",0.91
"CA0110005","inside",14000,"sewer",0.85
"CA0110005","inside",15000,"sewer",0.79
"CA0110005","inside",16000,"sewer",0.74
"CA0110005","inside",0,"water",0
"CA0110005","inside",1000,"water",5.68
"CA0110005","inside",2000,"water",5.68
"CA0110005","inside",3000,"water",5.68
"CA0110005","inside",4000,"water",5.68
"CA0110005","inside",5000,"water",5.68
"CA0110005","inside",6000,"water",5.95
"CA0110005","inside",7000,"water",6.22
"CA0110005","inside",8000,"water",6.42
"CA0110005","inside",9000,"water",6.57
"CA0110005","inside",10000,"water",6.7
"CA0110005","inside",11000,"water",6.8
"CA0110005","inside",12000,"water",6.89
"CA0110005","inside",13000,"water",7.15
"CA0110005","inside",14000,"water",7.38
"CA0110005","inside",15000,"water",7.57
