"pwsid","category","service","base_cost","fixed_surcharge","total","vol_cost","vol_surcharge","zone_cost","zone_surcharge"
"CA0110001","inside","sewer",35.11,0,35.11,0,0,0,0
"CA0110001","inside","storm",0,0,0,0,0,0,0
"CA0110001","inside","total",63.41,0,106.42,0,0,0,0
"CA0110001","inside","water",28.3,0,71.31,43.01,0,0,0
"CA0110001","outside","sewer",35.11,0,35.11,0,0,0,0
"CA0110001","outside","total",63.41,0,112.87,0,0,0,0
"CA0110001","outside","water",28.3,0,77.76,49.46,0,0,0
"CA0110005","inside","sewer",7.3,7.8,26.98,11.88,0,0,0
"CA0110005","inside","storm",0,0,0,0,0,0,0
"CA0110005","inside","total",35.17,7.8,107.91,55.4,9.54,0,0
"CA0110005","inside","water",27.87,0,80.93,43.52,9.54,0,0
"CA0110006","inside","sewer",35.81,0,35.81,0,0,0,0
"CA0110006","inside","storm",0,0,0,0,0,0,0
"CA0110006","inside","total",51.81,0,113.23,0,0,0,0
"CA0110006","inside","water",16,0,77.42,61.42,0,0,0
"CA0110006","outside","sewer",35.81,0,35.81,0,0,0,0
"CA0110006","outside","total",54.21,0,124.84,0,0,0,0
"CA0110006","outside","water",18.4,0,89.03,70.63,0,0,0
"CA0110008","inside","sewer",13.2,81.76,94.96,0,0,0,0
"CA0110008","inside","storm",0,0,0,0,0,0,0
"CA0110008","inside","total",25.66,81.76,140.64,0,0,0,0
"CA0110008","inside","water",12.46,0,45.68,33.22,0,0,0
"CA0110009","inside","sewer",39.05,0,39.05,0,0,0,0
"CA0110009","inside","storm",0,0,1.92,0,0,0,0
"CA0110009","inside","total",56.63,3.1,96.98,0,1.22,0,0
"CA0110009","inside","water",17.58,3.1,57.93,36.03,1.22,0,0
"CA0110011","inside","sewer",58.93,0,58.93,0,0,0,0
"CA0110011","inside","storm",0,0,0,0,0,0,0
"CA0110011","inside","total",100.82,0,132.68,0,0,0,0
"CA0110011","inside","water",41.89,0,73.75,31.86,0,0,0
"CA0210002","inside","sewer",53.05,0,334.43,281.38,0,0,0
"CA0210002","inside","storm",0,0,0,0,0,0,0
"CA0210002","inside","total",82.34,3.35,464.39,378.7,0,0,0
"CA0210002","inside","water",29.29,3.35,129.96,97.32,0,0,0
"CA0300016","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0300016","inside","storm",0,0,0,0,0,0,0
"CA0300016","inside","total",75.14,0,91.59,0,0,0,0
"CA0300016","inside","water",42.25,0,58.7,16.45,0,0,0
"CA0300019","inside","sewer",25,0,25,0,0,0,0
"CA0300019","inside","storm",0,0,0,0,0,0,0
"CA0300019","inside","total",75,0,75,0,0,0,0
"CA0300019","inside","water",50,0,50,0,0,0,0
"CA0310001","inside","sewer",38.05,10.6,48.65,0,0,0,0
"CA0310001","inside","storm",0,0,0,0,0,0,0
"CA0310001","inside","total",65.54,10.6,106.46,0,0,0,0
"CA0310001","inside","water",27.49,0,57.81,30.32,0,0,0
"CA0310002","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310002","inside","storm",0,0,0,0,0,0,0
"CA0310002","inside","total",140.16,16.62,179.61,0,0,0,0
"CA0310002","inside","water",31.34,16.62,70.79,22.83,0,0,0
"CA0310003","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310003","inside","storm",0,0,0,0,0,0,0
"CA0310003","inside","total",140.16,16.62,179.61,0,0,0,0
"CA0310003","inside","water",31.34,16.62,70.79,22.83,0,0,0
"CA0310005","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0310005","inside","storm",0,0,0,0,0,0,0
"CA0310005","inside","total",75.51,0,105.08,0,0,0,0
"CA0310005","inside","water",42.62,0,72.19,29.57,0,0,0
"CA0310006","inside","sewer",57.75,0,57.75,0,0,0,0
"CA0310006","inside","storm",0,0,0,0,0,0,0
"CA0310006","inside","total",107.65,0,135.14,0,0,0,0
"CA0310006","inside","water",49.9,0,77.39,27.49,0,0,0
"CA0310012","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310012","inside","storm",0,0,0,0,0,0,0
"CA0310012","inside","total",140.16,16.62,179.61,0,0,0,0
"CA0310012","inside","water",31.34,16.62,70.79,22.83,0,0,0
"CA0310019","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310019","inside","storm",0,0,0,0,0,0,0
"CA0310019","inside","total",140.16,16.62,179.61,0,0,0,0
"CA0310019","inside","water",31.34,16.62,70.79,22.83,0,0,0
"CA0310021","inside","sewer",108.82,10.8,119.62,0,0,0,0
"CA0310021","inside","storm",0,0,0,0,0,0,0
"CA0310021","inside","total",140.16,19.53,182.52,0,0,0,0
"CA0310021","inside","water",31.34,8.73,62.9,22.83,0,0,0
"CA0405001","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0405001","inside","storm",0,0,0,0,0,0,0
"CA0405001","inside","total",64.19,16.03,102.23,0,0,0,0
"CA0405001","inside","water",31.3,16.03,69.34,22.01,0,0,0
