"pwsid","service_area","city_name","utility_name","date","year","service","website","last_updated","order"
"CA0110001","Alameda County Water District","Fremont City","Alameda County Water District",2020-03-01,"2020","drinking water","https://www.acwd.org/115/Water-Rates",2020,1
"CA0110001","Alameda County Water District","Newark City","Alameda County Water District",2020-03-01,"2020","drinking water","https://www.acwd.org/115/Water-Rates",2020,1
"CA0110001","Alameda County Water District","Union City","Alameda County Water District",2020-03-01,"2020","drinking water","https://www.acwd.org/115/Water-Rates",2020,1
"CA0110001","Alameda County Water District","Fremont City","Union Sanitary District",2020-01-01,"2020","wastewater","https://www.unionsanitary.com/rates/sewer-service-charges",2020,2
"CA0110001","Alameda County Water District","Newark City","Union Sanitary District",2020-01-01,"2020","wastewater","https://www.unionsanitary.com/rates/sewer-service-charges",2020,2
"CA0110001","Alameda County Water District","Union City","Union Sanitary District",2020-01-01,"2020","wastewater","https://www.unionsanitary.com/rates/sewer-service-charges",2020,2
"CA0110003","California Water Service Company - Livermore","Livermore City","California Water Service Company - Livermore",2021-01-01,"2021","drinking water","https://www.calwater.com/docs/rates/rates_tariffs/liv/20210101-Residential_Metered_Service_LIV.pdf",2021,1
"CA0110003","California Water Service Company - Livermore","Livermore City","Livermore City",2021-07-01,"2021","wastewater","https://www.cityoflivermore.net/citygov/pw/public_works_divisions/wrd/rates_n_finances/wastewater_service_rates.htm",2021,2
"CA0110005","East Bay Municipal Utility District","Oakland City","East Bay Municipal Utility District",2020-07-01,"2020","drinking water","https://www.ebmud.com/water/water-rates/",2020,1
"CA0110005","East Bay Municipal Utility District","Oakland City","East Bay Municipal Utility District",2020-07-01,"2020","wastewater","https://www.ebmud.com/water/water-rates/",2020,2
"CA0110006","Hayward City","Hayward City","Hayward City",2020-10-01,"2020","drinking water","https://www.hayward-ca.gov/water-and-sewer-rates#:~:text=For%20most%20residential%20customers%20with,%22Related%20Documents%22%20below).",2020,1
"CA0110006","Hayward City","Hayward City","Hayward City",2020-10-01,"2020","wastewater","https://www.hayward-ca.gov/water-and-sewer-rates#:~:text=For%20most%20residential%20customers%20with,%22Related%20Documents%22%20below).",2020,2
"CA0110008","Pleasanton City","Pleasanton City","Pleasanton City",2020-01-01,"2020","drinking water","https://cityofpleasantonca.gov/gov/depts/os/service/utlbilling.asp",2021,1
"CA0110008","Pleasanton City","Pleasanton City","Pleasanton City",2020-07-01,"2020","wastewater","https://cityofpleasantonca.gov/gov/depts/os/service/utlbilling.asp",2021,2
"CA0110009","Dublin San Ramon Service District","Dublin San Ramon Service District","Dublin San Ramon Service District",2020-01-01,"2020","drinking water","https://www.dsrsd.com/your-account/rates-fees/water-rates",2020,1
"CA0110009","Dublin San Ramon Service District","Dublin San Ramon Service District","Dublin San Ramon Service District",2020-07-01,"2020","wastewater","https://www.dsrsd.com/your-account/rates-fees/wastewater-rates",2020,2
"CA0110009","Dublin San Ramon Service District","Dublin San Ramon Service District","San Ramon",2005-07-01,"2005","stormwater","https://www.sanramon.ca.gov/our_city/departments_and_divisions/public_works/storm_drainage_water/stormwater",2020,4
"CA0110011","Livermore City","Livermore City","Livermore City",2021-01-01,"2021","drinking water","https://www.cityoflivermore.net/citygov/pw/public_works_divisions/wrd/service/water_rates.htm",2021,1
"CA0110011","Livermore City","Livermore City","Livermore City",2021-01-01,"2021","wastewater","https://www.cityoflivermore.net/citygov/pw/public_works_divisions/wrd/rates_n_finances/wastewater_service_rates.htm",2021,2
"CA0210002","Kirkwood Meadows Public Utilities District","Kirkwood Meadows Public Utilities District","Kirkwood Meadows Public Utilities District",2021-03-01,"2021","drinking water","https://www.kmpud.com/departments/customer-service/rates/",2021,1
"CA0210002","Kirkwood Meadows Public Utilities District","Kirkwood Meadows Public Utilities District","Kirkwood Meadows Public Utilities District",2021-03-01,"2021","wastewater","https://www.kmpud.com/departments/customer-service/rates/",2021,2
"CA0300016","Volcano CSD","Volcano CSD","Volcano CSD",2012-07-01,"2012","drinking water","https://www.amadorgov.org/Home/ShowDocument?id=19658",2021,1
"CA0300016","Volcano CSD","Volcano CSD","Volcano CSD",2012-07-01,"2012","septic/on-site","not found",2021,3
"CA0300019","Fiddletown CSD","Fiddletown CSD","Fiddletown CSD",2013-09-01,"2013","drinking water","https://www.amadorgov.org/Home/ShowDocument?id=18793",2021,1
"CA0300019","Fiddletown CSD","Fiddletown CSD","Fiddletown CSD",2011-07-01,"2011","wastewater","https://www.amadorgov.org/Home/ShowDocument?id=18793",2021,2
"CA0310001","Jackson City","Jackson City","Jackson City",2021-07-01,"2021","drinking water","https://www.ci.jackson.ca.us/water_and_sewer_department/index.php",2021,1
"CA0310001","Jackson City","Jackson City","Jackson City",2021-07-01,"2021","wastewater","https://www.ci.jackson.ca.us/water_and_sewer_department/index.php",2021,2
"CA0310002","Amador Water Agency - Ione","Amador Water Agency - Ione","Amador Water Agency - Ione",2020-07-01,"2020","drinking water","https://amadorwater.org/customer-service/",2021,1
"CA0310002","Amador Water Agency - Ione","Amador Water Agency - Ione","Amador Water Agency - Ione",2020-07-01,"2020","wastewater","https://amadorwater.org/customer-service/",2021,2
"CA0310003","Amador Water Agency - Tanner","Amador Water Agency - Tanner","Amador Water Agency - Tanner",2020-07-01,"2020","drinking water","https://amadorwater.org/customer-service/",2021,1
"CA0310003","Amador Water Agency - Tanner","Amador Water Agency - Tanner","Amador Water Agency - Tanner",2020-07-01,"2020","wastewater","https://amadorwater.org/customer-service/",2021,2
"CA0310005","Pine Grove CSD","Pine Grove CSD","Pine Grove CSD",2019-07-01,"2019","drinking water","https://www.pgcsd.org/finances/",2021,1
"CA0310005","Pine Grove CSD","Pine Grove CSD","Pine Grove CSD",2019-07-01,"2019","septic/on-site","not found",2021,3
"CA0310006","River Pines Public Utility District","River Pines","River Pines Public Utility District",2015-08-01,"2015","drinking water","https://www.rppud.org/rate-and-fee-schedule-84",2021,1
"CA0310006","River Pines Public Utility District","River Pines","River Pines Public Utility District",2015-08-01,"2015","wastewater","https://www.rppud.org/rate-and-fee-schedule-84",2021,2
"CA0310012","Amador Water Agency - Buckhorn Plant","Amador Water Agency - Buckhorn Plant","Amador Water Agency - Buckhorn Plant",2020-07-01,"2020","drinking water","https://amadorwater.org/customer-service/",2021,1
"CA0310012","Amador Water Agency - Buckhorn Plant","Amador Water Agency - Buckhorn Plant","Amador Water Agency - Buckhorn Plant",2020-07-01,"2020","wastewater","https://amadorwater.org/customer-service/",2021,2
"CA0310019","Amador Water Agency - La Mel Heights #3","Amador Water Agency - La Mel Heights #3","Amador Water Agency - La Mel Heights #3",2020-07-01,"2020","drinking water","https://amadorwater.org/customer-service/",2021,1
"CA0310019","Amador Water Agency - La Mel Heights #3","Amador Water Agency - La Mel Heights #3","Amador Water Agency - La Mel Heights #3",2020-07-01,"2020","wastewater","https://amadorwater.org/customer-service/",2021,2
"CA0310021","Amador Water Agency - Camanche Village","Amador Water Agency - Camanche Village","Amador Water Agency - Camanche Village",2020-07-01,"2020","drinking water","https://amadorwater.org/customer-service/",2021,1
"CA0310021","Amador Water Agency - Camanche Village","Amador Water Agency - Camanche Village","Amador Water Agency - Camanche Village",2020-07-01,"2020","wastewater","https://amadorwater.org/customer-service/",2021,2
"CA0405001","Del Oro Water Company","Lime Saddle District","Del Oro Water Company",2021-01-01,"2021","drinking water","http://www.delorowater.com/deloro/water-districts/lime-saddle.html",2021,1
"CA0405001","Del Oro Water Company","Lime Saddle District","Homeowners",2021-01-01,"2021","septic/on-site",NA,2021,3
"CA0410001","Biggs City","Biggs City","Biggs City",2011-06-16,"2011","drinking water","https://www.biggs-ca.gov/City-Services/Utilities/Current-Utility-Rates/index.html",2021,1
"CA0410001","Biggs City","Biggs City","Biggs City",2016-01-01,"2016","wastewater","https://www.biggs-ca.gov/City-Services/Utilities/Current-Utility-Rates/index.html",2021,2
"CA0410002","California Water Service Company - Chicot","Chicot City","California Water Service Company - Chicot",2020-02-01,"2020","drinking water","https://www.calwater.com/rates/rates-and-tariffs/",2020,1
"CA0410002","California Water Service Company - Chicot","Chicot City","Chicot City",2019-07-01,"2019","wastewater","http://www.chico.ca.us/government/CityFeeSchedules.asp",2020,2
