"pwsid","hh_use","HBI","PPI","TRAD","burden","LaborHrs"
"CA0110001",0,1.31,11.56,0.62,"Low",4.23
"CA0110001",1000,1.44,11.56,0.68,"Low",4.67
"CA0110001",10000,2.59,11.56,1.22,"Low",8.63
"CA0110001",11000,2.72,11.56,1.28,"Low",9.07
"CA0110001",12000,2.84,11.56,1.34,"Low",9.51
"CA0110001",13000,2.97,11.56,1.4,"Low",9.95
"CA0110001",14000,3.1,11.56,1.46,"Low",10.39
"CA0110001",15000,3.23,11.56,1.52,"Low",10.83
"CA0110001",16000,3.35,11.56,1.58,"Low",11.27
"CA0110001",2000,1.57,11.56,0.74,"Low",5.11
"CA0110001",3000,1.7,11.56,0.8,"Low",5.55
"CA0110001",4000,1.82,11.56,0.86,"Low",5.99
"CA0110001",5000,1.95,11.56,0.92,"Low",6.43
"CA0110001",6000,2.08,11.56,0.98,"Low",6.86
"CA0110001",7000,2.21,11.56,1.04,"Low",7.3
"CA0110001",8000,2.33,11.56,1.1,"Low",7.75
"CA0110001",9000,2.46,11.56,1.16,"Low",8.19
"CA0110003",0,2.28,12.2,1,"Low",7.27
"CA0110003",1000,2.4,12.2,1.05,"Low",7.64
"CA0110003",10000,3.53,12.2,1.55,"Low",11.26
"CA0110003",11000,3.68,12.2,1.61,"Low",11.72
"CA0110003",12000,3.82,12.2,1.67,"Low",12.18
"CA0110003",13000,3.98,12.2,1.75,"Low",12.7
"CA0110003",14000,4.2,12.2,1.84,"Low",13.39
"CA0110003",15000,4.42,12.2,1.94,"Low",14.08
"CA0110003",16000,4.63,12.2,2.03,"Low-Moderate",14.77
"CA0110003",2000,2.51,12.2,1.1,"Low",8.01
"CA0110003",3000,2.63,12.2,1.15,"Low",8.38
"CA0110003",4000,2.74,12.2,1.2,"Low",8.75
"CA0110003",5000,2.86,12.2,1.25,"Low",9.12
"CA0110003",6000,2.98,12.2,1.31,"Low",9.48
"CA0110003",7000,3.1,12.2,1.36,"Low",9.87
"CA0110003",8000,3.24,12.2,1.42,"Low",10.34
"CA0110003",9000,3.39,12.2,1.49,"Low",10.8
"CA0110005",0,1.7,23.87,0.68,"Low-Moderate",3.04
"CA0110005",1000,2.04,23.87,0.82,"Low-Moderate",3.66
"CA0110005",10000,5.35,23.87,2.15,"Moderate-High",9.58
"CA0110005",11000,5.71,23.87,2.3,"Moderate-High",10.23
"CA0110005",12000,6.08,23.87,2.44,"Moderate-High",10.88
"CA0110005",13000,6.54,23.87,2.63,"Moderate-High",11.71
"CA0110005",14000,7,23.87,2.81,"Moderate-High",12.53
"CA0110005",15000,7.46,23.87,3,"Moderate-High",13.36
"CA0110005",16000,7.92,23.87,3.19,"Moderate-High",14.19
"CA0110005",2000,2.39,23.87,0.96,"Low-Moderate",4.28
"CA0110005",3000,2.74,23.87,1.1,"Low-Moderate",4.91
"CA0110005",4000,3.09,23.87,1.24,"Low-Moderate",5.53
"CA0110005",5000,3.44,23.87,1.38,"Low-Moderate",6.15
"CA0110005",6000,3.85,23.87,1.55,"Low-Moderate",6.89
"CA0110005",7000,4.26,23.87,1.71,"Low-Moderate",7.63
