"pwsid","service_area","state","sizeCategory","owner_type"
"CA0110001","Alameda County Water District","ca","Large","Local"
"CA0110003","California Water Service - Livermore","ca","Medium-Large","Private"
"CA0110005","East Bay Municipal Utility District","ca","Very Large","Local"
"CA0110006","Hayward City","ca","Large","Local"
"CA0110008","Pleasanton City","ca","Large","Local"
"CA0110009","Dublin San Ramon Service District","ca","Large","Local"
"CA0110011","Livermore City","ca","Medium-Large","Local"
"CA0210002","Kirkwood Meadows Public Utilities District","ca","Medium","Local"
"CA0300016","Volcano CSD","ca","Very Small","Local"
"CA0300019","Fiddletown CSD","ca","Very Small","Local"
"CA0310001","Jackson City","ca","Medium","Local"
"CA0310002","Amador Water Agency - Ione","ca","Medium","Local"
"CA0310003","Amador Water Agency - Tanner","ca","Medium","Local"
"CA0310005","Pine Grove CSD","ca","Small","Local"
"CA0310006","River Pines Public Utility District","ca","Small","Local"
"CA0310012","Amador Water Agency - Buckhorn Plant","ca","Medium","Local"
"CA0310019","Amador Water Agency - La Mel Heights #3","ca","Very Small","Local"
"CA0310021","Amador Water Agency - Camanche Village","ca","Small","Local"
"CA0405001","Del Oro Water Company","ca","Small","Private"
"CA0410001","Biggs City","ca","Small","Local"
"CA0410002","California Water Service - Chicot","ca","Large","Private"
"CA0410005","California Water Service - Oroville","ca","Medium-Large","Private"
"CA0410007","Paradise Irrigation District","ca","Medium","Local"
"CA0410009","Del Oro Water Company","ca","Small","Private"
"CA0410011","Del Oro Water Company - Paradise Pines","ca","Medium","Private"
"CA0510001","Union PUD","ca","Medium","Local"
"CA0510002","Calaveras Public Utility District","ca","Medium","Local"
"CA0510003","Angels City","ca","Medium","Local"
"CA0510004","Calaveras County Water District","ca","Very Small","Local"
"CA0510006","Calaveras County Water District - Jenny Lind","ca","Medium","Local"
"CA0510010","Valley Springs Public Utility District","ca","Small","Local"
"CA0510016","Calaveras County Water District - Ebbetts Pass","ca","Medium-Large","Local"
"CA0510017","Calaveras County Water District - Copper Cove","ca","Medium","Local"
"CA0610003","Maxwell PUD","ca","Small","Local"
"CA0610004","Williams City","ca","Medium","Local"
"CA0710001","Antioch City","ca","Large","Local"
"CA0710002","Golden State Water Company - Bay Point","ca","Medium-Large","Private"
"CA0710003","Contra Costa Water District","ca","Large","Local"
"CA0710004","Brentwood City","ca","Medium-Large","Local"
"CA0710006","Martinez City","ca","Medium-Large","Local"
"CA0710007","Diablo Water District","ca","Medium-Large","Local"
"CA0710009","Discovery Bay Town","ca","Medium-Large","Local"
"CA0810001","Crescent City","ca","Medium-Large","Local"
"CA0910002","South Tahoe PUD - main","ca","Large","Local"
"CA0910003","Placerville City","ca","Medium-Large","Local"
"CA0910006","Grizzly Flats CSD","ca","Small","Local"
"CA0910013","Georgetown Divide Public Utility District","ca","Medium","Local"
"CA1010001","Bakman Water Company","ca","Medium-Large","Private"
"CA1010003","Clovis City","ca","Large","Local"
"CA1010004","Coalinga City","ca","Medium-Large","Local"
"CA1010005","Firebaugh City","ca","Medium","Local"
"CA1010007","Fresno City","ca","Very Large","Local"
"CA1010018","Kerman City","ca","Medium-Large","Local"
"CA1010019","Kingsburg City","ca","Medium-Large","Local"
"CA1010029","Sanger City","ca","Medium-Large","Local"
"CA1010035","Del Rey CSD","ca","Small","Local"
"CA1010042","Magalia County Water District","ca","Small","Local"
"CA1010044","Huron City","ca","Medium","Local"
"CA1010049","Biola CSD","ca","Small","Local"
"CA1100404","Del Oro Water Company - Black Butte","ca","Very Small","Private"
"CA1110001","Orland City","ca","Medium","Local"
"CA1110003","California Water Service - Willows","ca","Medium","Private"
"CA1210001","Arcata City","ca","Medium-Large","Local"
"CA1210002","Blue Lake City","ca","Small","Local"
"CA1210004","Eureka City","ca","Medium-Large","Local"
"CA1210006","Fortuna City","ca","Medium-Large","Local"
"CA1210007","Del Oro Water Company","ca","Small","Private"
"CA1210009","Humboldt Community Services District","ca","Medium-Large","Local"
"CA1210010","Scotia CSD","ca","Small","Private"
"CA1210011","Redway CSD","ca","Small","Local"
"CA1210015","Willow Creek Community Services District","ca","Small","Local"
"CA1210016","McKinleyville Community Services District","ca","Medium-Large","Local"
"CA1210017","Manila CSD","ca","Small","Other"
"CA1210018","Trinidad City","ca","Small","Local"
"CA1310001","Brawley City","ca","Medium-Large","Local"
"CA1310002","Calexico City","ca","Medium-Large","Local"
"CA1310004","El Centro City","ca","Medium-Large","Local"
"CA1310005","Holtville City","ca","Medium","Local"
"CA1310006","Imperial City","ca","Medium-Large","Local"
"CA1310007","Heber PUD","ca","Medium","Private"
"CA1310011","Coachella Valley Water District - Division 11","ca","Medium","Local"
"CA1410001","Bishop City","ca","Medium","Local"
"CA1410006","Big Pine CSD","ca","Small","Local"
"CA1500314","Del Oro Water Company - Country Estates","ca","Very Small","Private"
"CA1510001","Arvin Community Services District","ca","Medium-Large","Local"
"CA1510003","California Water Service - Bakersfield","ca","Large","Private"
"CA1510005","Delano City","ca","Medium-Large","Local"
"CA1510006","East Niles Community Services District","ca","Medium-Large","Local"
"CA1510012","Lamont Public Utility District","ca","Medium-Large","Local"
"CA1510013","McFarland City","ca","Medium-Large","Local"
"CA1510014","Mojave PUD","ca","Medium","Local"
"CA1510017","Indian Wells Valley Water District","ca","Medium-Large","Local"
"CA1510018","Rosamond Community Services District","ca","Medium-Large","Local"
"CA1510019","Shafter City","ca","Medium-Large","Local"
